"_id","resourceName","resourceCategory","currencyCode","unitOfMeasure","unitPrice","productName","flavor__id","flavor__name","flavor__code","flavor__osPlatform","flavor__cpu","flavor__ram","flavor__disk","reservations__term","reservations__price","tiers__category","tiers__minimumUnits","tiers__percentDiscount"
"81eb9eebb5d941c5a153b7bcbf3f822a","cloudServer","computing","EUR","1 Hour","0.332","cloudServer","ba85e475712a4f13bf6aa74e4f6176a6","CSO12A24","023d0cf0-8cdc-4b2a-95a7-8bb9e68f9bf5","windows","12","24","120","1 Month","0.3154","Base","10","5.0"
"","","","","","","","","","","","","","","1 Year","0.2988","Partner","50","10.0"
"","","","","","","","","","","","","","","3 Years","0.2656","Premium","100","15.0"
"d562642b7b5246cfb22d09c46c560481","cloudServer","computing","EUR","1 Hour","0.446","cloudServer","d93c200189a34b7cbd6ffe572020fbac","CSO16A32","ffc77475-0ede-427c-b4a6-0e64e6a0322b","windows","16","32","120","1 Month","0.4237","Base","5","3.0"
"","","","","","","","","","","","","","","1 Year","0.4014","Partner","20","8.0"
"","","","","","","","","","","","","","","3 Years","0.3568","Premium","50","12.0"
"de2a00415f804e269026e50071e8783c","cloudServer","computing","EUR","1 Hour","0.516","cloudServer","d57e7b1b6a714803abec060be3b08895","CSO16A64","d4a7199e-0b93-407c-9196-ce8745c22453","windows","16","64","120","1 Month","0.4902","Base","5","3.0"
"","","","","","","","","","","","","","","1 Year","0.4644","Partner","20","8.0"
"","","","","","","","","","","","","","","3 Years","0.4128","Premium","50","12.0"
"3346766498f24557bc325e618b7505f0","cloudServer","computing","EUR","1 Hour","0.036","cloudServer","ba621531c04848d28649d683d87b6b7f","CSO1A4","3d12dcc0-de18-48c9-9ee4-588bb699d6b4","windows","1","4","40","1 Month","0.0342","Base","10","5.0"
"","","","","","","","","","","","","","","1 Year","0.0324","Partner","50","10.0"
"","","","","","","","","","","","","","","3 Years","0.0288","Premium","100","15.0"
"d9ad5f93a70247b781562655e5bd94dd","cloudServer","computing","EUR","1 Hour","0.664","cloudServer","545407b4595f4905ab187c12f8ddc2f1","CSO24A48","f055b7a8-f092-4f9c-b5d6-7ab45067a5a4","windows","24","48","120","1 Month","0.6318","Base","10","5.0"
"","","","","","","","","","","","","","","1 Year","0.5976","Partner","50","10.0"
"","","","","","","","","","","","","","","3 Years","0.5312","Premium","100","15.0"
"f66cbb71a6a342518da73a92bcae3545","cloudServer","computing","EUR","1 Hour","0.058","cloudServer","4cb1eda3373a489db4dc58f4401f7c15","CSO2A4","b5052a43-60d0-4041-9d5d-448d30c48f0c","windows","2","4","40","1 Month","0.0551","Base","5","3.0"
"","","","","","","","","","","","","","","1 Year","0.0522","Partner","20","8.0"
"","","","","","","","","","","","","","","3 Years","0.0464","Premium","50","12.0"
"0d77a5c85b4844789594e793861088fc","cloudServer","computing","EUR","1 Hour","0.072","cloudServer","8292e60e76904131b54ee7654acfca6b","CSO2A8","e74747dd-67c9-4af5-8358-551daa5a67a7","windows","2","8","80","1 Month","0.0684","Base","5","3.0"
"","","","","","","","","","","","","","","1 Year","0.0648","Partner","20","8.0"
"","","","","","","","","","","","","","","3 Years","0.0576","Premium","50","12.0"
"d83be8c908ff41e89333a9cb689dae7e","cloudServer","computing","EUR","1 Hour","0.892","cloudServer","c3c5820e6f87479d8cd613035df3affb","CSO32A64","26ab74de-8b07-44b5-825f-0dfc3811bdd5","windows","32","64","120","1 Month","0.8474","Base","10","5.0"
"","","","","","","","","","","","","","","1 Year","0.8028","Partner","50","10.0"
"","","","","","","","","","","","","","","3 Years","0.7136","Premium","100","15.0"
"ee65c4841349405bba4f2640a874b17e","cloudServer","computing","EUR","1 Hour","0.138","cloudServer","16ccee107017483bb5ad9172b773944c","CSO4A16","a3c48e2e-e738-41b2-8f84-dad8c8ed6251","windows","4","16","120","1 Month","0.1311","Base","10","5.0"
"","","","","","","","","","","","","","","1 Year","0.1242","Partner","50","10.0"
"","","","","","","","","","","","","","","3 Years","0.1104","Premium","100","15.0"
"3c823fc9bb8942b5b8e9a2dd7ec2c8c4","cloudServer","computing","EUR","1 Hour","0.114","cloudServer","4f58aae0db4d4ffc91a0aad443f10482","CSO4A8","f0510b08-ca36-4513-a436-c375c0a071b6","windows","4","8","80","1 Month","0.1083","Base","10","5.0"
"","","","","","","","","","","","","","","1 Year","0.1026","Partner","50","10.0"
"","","","","","","","","","","","","","","3 Years","0.0912","Premium","100","15.0"
"eb5d5b03a256488cad6da75555a0fb9f","cloudServer","computing","EUR","1 Hour","0.223","cloudServer","09df595512674ac99d47a0669b35acd5","CSO8A16","297a0b5b-f45c-4fb3-9ed7-c316b71ea87d","windows","8","16","120","1 Month","0.21185","Base","10","5.0"
"","","","","","","","","","","","","","","1 Year","0.2007","Partner","50","10.0"
"","","","","","","","","","","","","","","3 Years","0.1784","Premium","100","15.0"
"c281b32965c54a61b5f36cae21fc2159","cloudServer","computing","EUR","1 Hour","0.263","cloudServer","a2310aed66d94d1fb3e8c34c8a877f78","CSO8A32","a427855a-4387-4888-bcfe-cb74882a50c3","windows","8","32","120","1 Month","0.24985","Base","10","5.0"
"","","","","","","","","","","","","","","1 Year","0.237","Partner","50","10.0"
"","","","","","","","","","","","","","","3 Years","0.2104","Premium","100","15.0"
"d9af774e919b4a17a03265d49d395440","cloudServer","computing","EUR","1 Hour","0.14","cloudServer","2f24c15ac8a04e9c8196ed0cda40e38c","CSO12A24","34010e77-8cbe-46b1-8313-2a8916a3b70a","linux","12","24","120","1 Month","0.133","Base","5","3.0"
"","","","","","","","","","","","","","","1 Year","0.126","Partner","20","8.0"
