"_id","resourceName","resourceCategory","currencyCode","unitOfMeasure","unitPrice","productName","flavor__id","flavor__name","flavor__code","flavor__osPlatform","flavor__cpu","flavor__ram","flavor__disk","flavor","reservations__term","reservations__price","tiers__category","tiers__minimumUnits","tiers__percentDiscount"
"8108329f04a04fb39725607694801461","kaas","container","EUR","1 Hour","0.05","masterHA","","","","","","","","null","1 Month","0.0475","Base","10","5.0"
"","","","","","","","","","","","","","","","1 Year","0.045","Partner","50","10.0"
"","","","","","","","","","","","","","","","3 Years","0.04","Premium","100","15.0"
"9fd8ae455a7e4b34838bf184c881a68f","kaas","container","EUR","1 Hour","0.14","kaasNode","41a4df9d024644d8996c7bb5db1d2109","K12A24","null","linux","12","24","120","","1 Month","0.133","Base","5","3.0"
"","","","","","","","","","","","","","","","1 Year","0.126","Partner","20","8.0"
"","","","","","","","","","","","","","","","3 Years","0.112","Premium","50","12.0"
"05c3efc1c8d246aa9b76fc29db6111b6","kaas","container","EUR","1 Hour","0.19","kaasNode","9efdc50169264acfb082205beefaee4f","K16A32","null","linux","16","32","120","","1 Month","0.1805","Base","5","3.0"
"","","","","","","","","","","","","","","","1 Year","0.171","Partner","20","8.0"
"","","","","","","","","","","","","","","","3 Years","0.152","Premium","50","12.0"
"f809890a909e4e91a830b5e41c9018c7","kaas","container","EUR","1 Hour","0.28","kaasNode","f9c8b4cecf80445db5442d0f0b0c98f0","K24A48","null","linux","24","48","120","","1 Month","0.266","Base","5","3.0"
"","","","","","","","","","","","","","","","1 Year","0.252","Partner","20","8.0"
"","","","","","","","","","","","","","","","3 Years","0.224","Premium","50","12.0"
"5e6a1900a65742a8b994b8a6d47593f6","kaas","container","EUR","1 Hour","0.026","kaasNode","47495b9ead404f8c82e3700d53aa68af","K2A4","null","linux","2","4","40","","1 Month","0.0247","Base","10","5.0"
"","","","","","","","","","","","","","","","1 Year","0.0234","Partner","50","10.0"
"","","","","","","","","","","","","","","","3 Years","0.0208","Premium","100","15.0"
"7dd112cae86b400283ca97cbad19032d","kaas","container","EUR","1 Hour","0.04","kaasNode","944c1e017b594733b0367636ffe90cf3","K2A8R","null","linux","2","8","80","","1 Month","0.038","Base","10","5.0"
"","","","","","","","","","","","","","","","1 Year","0.036","Partner","50","10.0"
"","","","","","","","","","","","","","","","3 Years","0.032","Premium","100","15.0"
"0c02b9e1d81940b0bad1005f1b18b141","kaas","container","EUR","1 Hour","0.38","kaasNode","9d455579a30b487885d5ece6a4dc4651","K32A64","null","linux","32","64","120","","1 Month","0.361","Base","10","5.0"
"","","","","","","","","","","","","","","","1 Year","0.342","Partner","50","10.0"
"","","","","","","","","","","","","","","","3 Years","0.304","Premium","100","15.0"
"4d24808b959d48d0b72cfbb51dbca036","kaas","container","EUR","1 Hour","0.074","kaasNode","3c5b650f640047c2968bef2fb9a53e56","K4A16R","null","linux","4","16","120","","1 Month","0.0703","Base","10","5.0"
"","","","","","","","","","","","","","","","1 Year","0.0666","Partner","50","10.0"
"","","","","","","","","","","","","","","","3 Years","0.0592","Premium","100","15.0"
"c2ec0c915904480fb67106c103088c0a","kaas","container","EUR","1 Hour","0.05","kaasNode","827ef08235384cdabb3310c0d7e93fb4","K4A8","null","linux","4","8","80","","1 Month","0.0475","Base","10","5.0"
"","","","","","","","","","","","","","","","1 Year","0.045","Partner","50","10.0"
"","","","","","","","","","","","","","","","3 Years","0.04","Premium","100","15.0"
"66079ef91da04a91bffeb104545d3464","kaas","container","EUR","1 Hour","0.095","kaasNode","5733158be46843de9ac0e9cf2eab3390","K8A16","null","linux","8","16","120","","1 Month","0.09025","Base","10","5.0"
"","","","","","","","","","","","","","","","1 Year","0.0855","Partner","50","10.0"
"","","","","","","","","","","","","","","","3 Years","0.076","Premium","100","15.0"
"83cbf1eea960400492515a54f2064420","kaas","container","EUR","1 Hour","0.135","kaasNode","1d95d5be4ec3473ba5258e3c1a8e6a1e","K8A32R","null","linux","8","32","120","","1 Month","0.12825","Base","10","5.0"
"","","","","","","","","","","","","","","","1 Year","0.1215","Partner","50","10.0"
"","","","","","","","","","","","","","","","3 Years","0.108","Premium","100","15.0"
"e22e3b5294734359a1d4c763f4af0b2b","kaas","container","EUR","1 Hour","0.26","kaasNode","3868e4e491f94708bc36fb3bf419eb30","K16A64R","null","linux","16","64","120","","1 Month","0.247","Base","10","5.0"
"","","","","","","","","","","","","","","","1 Year","0.234","Partner","50","10.0"
"","","","","","","","","","","","","","","","3 Years","0.208","Premium","100","15.0"
"104af25a94ed410fa53059afe0f0c349","kaas","container","EUR","1 Hour","0.5","kaasNode","51411ebf13db4c6bb921d6f25772effd","K32A128R","null","linux","32","128","120","","1 Month","0.475","Base","10","5.0"
"","","","","","","","","","","","","","","","1 Year","0.45","Partner","50","10.0"
"","","","","","","","","","","","","","","","3 Years","0.4","Premium","100","15.0"
